央视,#genre#
CCTV-1综合,http://111.20.105.60:6060/yinhe/2/ch00000090990000001331/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$1 1080p 8M
CCTV-1综合,http://39.134.216.5/mgsp.live.miguvideo.com:8088/wd_r2/cctv/cctv1hd/2500/01.m3u8$2 1080p 4M
CCTV-2财经,http://111.20.105.60:6060/yinhe/2/ch00000090990000001332/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$1 1080p 8M
CCTV-2财经,http://39.134.216.5/mgsp.live.miguvideo.com:8088/wd_r2/cctv/cctv2hd/3000/01.m3u8$2 1080p 4M
CCTV-3综艺,http://111.20.105.60:6060/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$1 1080p 8M
CCTV-3综艺,http://39.134.216.5/mgsp.live.miguvideo.com:8088/wd_r2/2018/ocn/cctv3hd/2000/01.m3u8$2 1080p 4M
CCTV-4中文国际,http://111.20.105.60:6060/yinhe/2/ch00000090990000001333/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$1 1080p 8M
CCTV-4中文国际,http://39.134.216.5/mgsp.live.miguvideo.com:8088/wd_r2/cctv/cctv4hd/3000/01.m3u8$2 1080p 4M
CCTV-5体育,http://39.134.135.126/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226469/1.m3u8$1 1080p 8M
CCTV-5体育,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226469/1.m3u8$2 1080p 8M
CCTV-5体育,http://ott.js.chinamobile.com/PLTV/3/224/3221227661/index.m3u8$3 1080p 4M
CCTV-6电影,http://111.20.105.60:6060/yinhe/2/ch00000090990000001859/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$1 1080p 8M
CCTV-6电影,http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/cctv6hd265/55/20200407/01.m3u8$2 1080p 4M
CCTV-7国防军事,http://111.20.105.60:6060/yinhe/2/ch00000090990000001291/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$1 1080p 8M
CCTV-7国防军事,http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv7hd/57/01.m3u8$2 1080p 4M
CCTV-8电视剧,http://111.20.105.60:6060/yinhe/2/ch00000090990000001869/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$1 1080p 8M
CCTV-8电视剧,http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/cctv8hd265/55/20200407/01.m3u8$2 1080p 4M
CCTV-9记录,http://111.20.105.60:6060/yinhe/2/ch00000090990000001294/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$1 1080p 8M
CCTV-9记录,http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv9hd/57/01.m3u8$2 1080p 4M
CCTV-10科教,http://111.20.105.60:6060/yinhe/2/ch00000090990000001288/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$1 1080p 8M
CCTV-10科教,http://39.134.216.5/mgsp.live.miguvideo.com:8088/wd_r2/2018/ocn/cctv10hd/2000/01.m3u8$2 1080p 4M
CCTV-11戏曲,http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221226927/1.m3u8$1 1080p 8M
CCTV-11戏曲,http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/cctv11hd/57/20200103/01.m3u8$2 1080p 4M
CCTV-12社会与法,http://111.20.105.60:6060/yinhe/2/ch00000090990000001289/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$1 1080p 8M
CCTV-12社会与法,http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv12hd/57/01.m3u8$2 1080p 4M
CCTV-13新闻,http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221226985/1.m3u8$1 1080p 8M
CCTV-13新闻,http://39.134.135.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226316/1.m3u8$2 1080p 4M
CCTV-13新闻,http://223.110.241.137:6610/gitv/live1/CCTV-13/CCTV-13.m3u8$3 1080p 4M
CCTV-14少儿,http://111.20.105.60:6060/yinhe/2/ch00000090990000001292/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$1 1080p 8M
CCTV-14少儿,http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/cctv14hd265/55/20200407/01.m3u8$2 1080p 4M
CCTV-15音乐,http://39.134.135.126/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226333/1.m3u8
CCTV-15音乐,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226333/1.m3u8$1 1080p 8M
CCTV-15音乐,http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv15hd/57/01.m3u8$2 1080p 4M
CCTV-体育赛事,http://111.20.105.60:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$1 1080p 8M
CCTV-体育赛事,http://223.110.241.137:6610/gitv/live1/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8$2 1080p 4M
CCTV-17农业农村,http://111.20.105.60:6060/yinhe/2/ch00000090990000001295/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$1 1080p 8M
CCTV-17农业农村,http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv17hd/57/01.m3u8$2 1080p 4M
CGTN,http://live.cgtn.com/1000/prog_index.m3u8
CGTN,http://111.20.105.60:6060/yinhe/2/ch00000090990000001024/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV4美洲,http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv4meihd/57/index.m3u8?&encrypt=1$1 1080p 2M
CCTV4美洲,http://cctvalih5ca.v.myalicdn.com/live/cctvamerica_2/index.m3u8$2 360p 1M
CCTV4欧洲,http://39.134.216.5/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv4ouhd/57/index.m3u8?&encrypt=1$1 1080p 2M
CCTV4欧洲,http://cctvalih5ca.v.myalicdn.com/live/cctveurope_2/index.m3u8$2 360p 1M
CCTV4K超高清,http://39.134.176.167/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/01.m3u8?fmt=ts2hls$1 1080p 35M
CCTV4K超高清,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv4k$1 1080p 15M
CCTV怀旧剧场,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226097/1/index.m3u8?fmt=ts2hls
CCTV怀旧剧场,http://hdtv.haust.edu.cn/hls/hjjctv.m3u8
CCTV怀旧剧场,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=hjjc
CCTV怀旧剧场,rtmp://ivi.bupt.edu.cn:1935/livetv/hjjctv
CCTV怀旧剧场,rtmp://58.200.131.2:1935/livetv/hjjctv
CCTV怀旧剧场,http://39.134.216.5/live.hcs.cmvideo.cn:8088/ws_v/2018/hjjc/hjjc711/1000/index.m3u8?ProgramID=&encrypt=1
CCTV第一剧场,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226124/1/index.m3u8?fmt=ts2hls
CCTV第一剧场,http://hdtv.haust.edu.cn/hls/dyjctv.m3u8
CCTV第一剧场,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=dyjc
CCTV第一剧场,rtmp://58.200.131.2:1935/livetv/dyjctv
CCTV第一剧场,http://39.134.216.5/live.hcs.cmvideo.cn:8088/ws_v/2018/dyjc/dyjc711/1000/index.m3u8?ProgramID=&encrypt=1
CCTV风云剧场,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226107/1/index.m3u8?fmt=ts2hls
CCTV风云剧场,http://hdtv.haust.edu.cn/hls/hls184a516.m3u8
CCTV风云剧场,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=fyjc
CCTV风云剧场,http://39.134.216.5/live.hcs.cmvideo.cn:8088/ws_v/2018/fyjc/fyjc711/1000/index.m3u8?ProgramID=&encrypt=1
CCTV风云音乐,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226083/1/index.m3u8?fmt=ts2hls
CCTV风云音乐,http://hdtv.haust.edu.cn/hls/hls184a519.m3u8
CCTV风云音乐,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=fyyy
CCTV风云音乐,http://39.134.216.5/live.hcs.cmvideo.cn:8088/ws_v/2018/fyyy/fyyy711/1000/index.m3u8?ProgramID=&encrypt=1
CCTV风云足球,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226153/1/index.m3u8?fmt=ts2hls
CCTV风云足球,http://hdtv.haust.edu.cn/hls/fyzqtv.m3u8
CCTV风云足球,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=fyzq
CCTV风云足球,rtmp://58.200.131.2:1935/livetv/fyzqtv
CCTV风云足球,http://39.134.216.5/live.hcs.cmvideo.cn:8088/ws_v/2018/fyzq/fyzq711/1000/index.m3u8?ProgramID=&encrypt=1
CCTV兵器科技,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226111/1/index.m3u8?fmt=ts2hls
CCTV兵器科技,http://hdtv.haust.edu.cn/hls/gfjstv.m3u8
CCTV兵器科技,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=bqkj
CCTV兵器科技,rtmp://58.200.131.2:1935/livetv/gfjstv
CCTV兵器科技,http://39.134.216.5/live.hcs.cmvideo.cn:8088/ws_v/2018/gfjs/gfjs711/1000/index.m3u8?ProgramID=&encrypt=1
CCTV世界地理,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226071/1/index.m3u8?fmt=ts2hls
CCTV世界地理,http://hdtv.haust.edu.cn/hls/hls184a515.m3u8
CCTV世界地理,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=sjdl
CCTV世界地理,http://39.134.216.5/live.hcs.cmvideo.cn:8088/ws_v/2018/sjdl/sjdl711/1000/index.m3u8?ProgramID=&encrypt=1
CCTV女性时尚,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226104/1/index.m3u8?fmt=ts2hls
CCTV女性时尚,http://hdtv.haust.edu.cn/hls/hls184a522.m3u8
CCTV女性时尚,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=nxss
CCTV女性时尚,http://39.134.216.5/live.hcs.cmvideo.cn:8088/ws_v/2018/nxss/nxss711/1000/index.m3u8?ProgramID=&encrypt=1
CCTV央视台球,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226156/1/index.m3u8?fmt=ts2hls
CCTV央视台球,http://hdtv.haust.edu.cn/hls/hls184a574.m3u8
CCTV央视台球,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=ystq
CCTV央视台球,http://39.134.216.5/live.hcs.cmvideo.cn:8088/ws_v/2018/ystq/ystq711/1000/index.m3u8?ProgramID=&encrypt=1
CCTV电视指南,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226120/1/index.m3u8?fmt=ts2hls
CCTV电视指南,http://hdtv.haust.edu.cn/hls/hls186a88.m3u8
CCTV电视指南,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5FFFD101U319EA04BK783132D9I2C99C070P2BF4M30B8BC5V0Z339C9W165A00CED084CDED&playtoken=31608RMZHGPUCXX10&auth=no&programid=4200000164
CCTV高尔夫网球,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226114/1/index.m3u8?fmt=ts2hls
CCTV高尔夫网球,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=gefwq
CCTV高尔夫网球,http://39.134.216.5/live.hcs.cmvideo.cn:8088/ws_v/2018/gefwq/gefwq711/1000/index.m3u8?ProgramID=&encrypt=1
CCTV央视文化精品,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226100/1/index.m3u8?fmt=ts2hls
CCTV央视文化精品,http://hdtv.haust.edu.cn/hls/hls184a520.m3u8
CCTV央视文化精品,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=ysjp
CCTV央视文化精品,http://39.134.216.5/live.hcs.cmvideo.cn:8088/ws_v/2018/ysjp/ysjp711/1000/index.m3u8?ProgramID=&encrypt=1
CCTV卫生健康,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=wsjk
CCTV老故事,http://111.20.105.60:6060/yinhe/2/ch00000090990000001315/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV中学生,http://39.135.138.6:6610/PLTV/88888888/224/3221225515/2/1000.m3u8?IASH
CCTV中学生,http://hdtv.haust.edu.cn/hls/hls184a536.m3u8
CCTV中学生,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=hbxxzn
CCTV发现之旅,http://111.20.105.60:6060/yinhe/2/ch00000090990000001314/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV新科动漫,http://cctvtxyh5ca.liveplay.myqcloud.com/live/xinkedongman_2_hd.m3u8
CCTV新科动漫,http://cctvtxyh5ca.liveplay.myqcloud.com/live/xinkedongman_2/index.m3u8
CCTV中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
CCTV中国天气,http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221227005/1.m3u8
CCTV中国天气,http://140.207.241.2:8080/live/program/live/zgqx/1300000/mnf.m3u8
CCTV中国天气,http://125.210.152.18:9090/live/ZGQX.m3u8
CHC高清电影,http://111.20.105.60:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://39.134.18.66/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CHC家庭影院,http://111.20.105.60:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://39.134.18.66/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC动作电影,http://111.20.105.60:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC动作电影,http://39.134.18.66/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CBN每日影院,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cbnmryy
